Keyword,Category,Timestamp
hello chatbot,Chatbot Enhancement,2020-07-05 21:24:02.285399
hello chatbot,Chatbot Enhancement,2020-07-05 21:29:20.737640
hello chatbot,Chatbot Enhancement,2020-07-05 21:35:34.446243
transfer file directly,Chatbot Enhancement,2020-07-05 21:36:37.028275
thing not work,Overall Solution Feedback,2020-07-05 21:41:07.334135
transfer file directly,Chatbot Enhancement,2020-07-05 21:41:56.644783
bot not understand,Chatbot Knowledge,2020-07-05 22:13:54.496756
testing delete,Chatbot Technical Issues,2020-07-05 22:27:16.850267
testing delete,Chatbot Technical Issues,2020-07-05 22:30:46.837387
testing finallls,Chatbot Technical Issues,2020-07-06 01:44:51.665115
testing overall,Overall Solution Feedback,2020-07-06 01:52:47.494632
testing chatbot knowledge - add function,Chatbot Knowledge,2020-07-06 14:01:50.947350
testing add keyword feature,Chatbot Knowledge,2020-07-07 13:19:41.224612
testing technical,Chatbot Technical Issues,2020-07-07 13:30:47.632008
testing technical,Chatbot Technical Issues,2020-07-07 14:10:41.964619
checking log,Chatbot Technical Issues,2020-07-08 16:10:14.710086
checking logger,Overall Solution Feedback,2020-07-08 16:14:59.604313
testing from client,Chatbot Technical Issues,2020-07-10 20:30:28.214875
testing logger,Chatbot Technical Issues,2020-07-15 21:57:56.849770
final testing,Chatbot Knowledge,2020-07-15 22:42:00.875963
adding keyword,Chatbot Knowledge,2020-08-24 22:34:37.879585
adding 1,Wait & Turnaround Time,2020-09-14 13:01:05.278364
Great service provided by IT Team,Quality of IT Support,2020-10-08 19:14:48.304534
could not hear the agent,Call Quality,2020-10-08 19:33:02.935059
could not hear the agent,Call Quality,2020-10-08 19:44:44.952630
very bad,Call Quality,2020-11-05 12:43:20.317361
fixed in minutes,Resolution Time,2020-11-11 09:36:52.815105
appropriate steps taken,Technical Proficiency,2020-11-11 10:46:06.932726
